Jahrgang;Alter;Groesse;Geschlecht;AlterV;AlterM;GroesseV;GroesseM;Geschwister;Farbe;AusgKomm;AnzSchuhe;AusgSchuhe;Essgewohnheiten;Raucher;NoteMathe;MatheZufr;Studiengang;Fragebogen
2014;25;170;Frau;54;52;179;165;1;weiss;400;20;350;;;3,0;zufrieden;;
2014;19;177;Mann;52;49;193;160;1;schwarz;400;14;350;;;3,0;sehr zufrieden;;
2014;21;166;Frau;47;50;180;176;1;blau;460;27;340;;;3,0;geht so;;
2014;19;173;Frau;49;50;170;165;1;weiss;750;17;300;;;3,0;zufrieden;;
2014;24;183;Mann;65;62;180;170;2;schwarz;500;15;300;;;3,0;zufrieden;;
2014;24;187;Mann;54;51;185;175;1;schwarz;300;15;300;;;3,0;geht so;;
2014;24;164;Frau;49;53;187;162;1;weiss;300;38;250;;;3,0;geht so;;
2014;22;180;Mann;59;56;186;169;2;weiss;570;8;250;;;3,0;unzufrieden;;
2014;22;197;Mann;77;53;185;170;1;schwarz;700;5;250;;;3,0;zufrieden;;
2014;21;160;Frau;52;48;172;165;1;schwarz;150;45;200;;;3,0;geht so;;
2014;19;167;Frau;55;54;184;169;3;schwarz;300;40;200;;;3,0;geht so;;
2014;21;169;Frau;55;54;180;170;1;schwarz;300;9;200;;;3,0;unzufrieden;;
2014;21;193;Mann;51;52;180;175;1;schwarz;800;3;200;;;3,0;zufrieden;;
2014;22;179;Mann;47;50;180;165;5;schwarz;600;8;180;;;3,0;unzufrieden;;
2014;19;157;Frau;49;48;189;158;0;weiss;350;21;150;;;3,0;geht so;;
2014;22;181;Mann;55;50;175;165;6;blau;400;4;150;;;3,0;geht so;;
2014;22;176;Mann;45;42;168;160;3;schwarz;240;5;100;;;3,0;zufrieden;;
2014;20;167;Frau;51;48;182;165;1;weiss;245;20;70;;;3,0;zufrieden;;
2014;25;170;Frau;50;46;175;165;4;silber;850;50;700;;;3,3;geht so;;
2014;20;165;Frau;57;58;190;158;0;silber;770;25;650;;;3,3;unzufrieden;;
2014;19;178;Mann;58;56;170;165;2;schwarz;720;5;500;;;3,3;unzufrieden;;
2014;19;170;Frau;41;42;168;156;0;weiss;550;40;450;;;3,3;unzufrieden;;
2014;20;183;Mann;56;54;185;170;2;schwarz;200;15;450;;;3,3;geht so;;
2014;23;162;Frau;56;53;182;168;0;schwarz;60;18;400;;;3,3;geht so;;
2014;20;176;Mann;56;54;181;171;0;schwarz;950;11;400;;;3,3;zufrieden;;
2014;21;160;Frau;44;42;180;170;1;silber;350;40;300;;;3,3;geht so;;
2014;24;180;Mann;49;48;176;168;1;schwarz;900;10;300;;;3,3;unzufrieden;;
2014;22;164;Frau;54;51;182;160;0;weiss;360;27;230;;;3,3;zufrieden;;
2014;21;167;Frau;53;47;187;160;2;weiss;180;35;200;;;3,3;zufrieden;;
2014;20;169;Frau;50;46;183;169;1;weiss;150;30;200;;;3,3;geht so;;
2014;28;169;Frau;62;63;176;160;1;blau;300;16;200;;;3,3;geht so;;
2014;20;193;Mann;55;55;185;162;2;schwarz;330;8;170;;;3,3;zufrieden;;
2014;20;172;Frau;58;53;182;165;1;schwarz;500;20;150;;;3,3;zufrieden;;
2014;23;185;Mann;60;51;183;168;4;schwarz;540;5;150;;;3,3;geht so;;
2014;19;179;Mann;50;50;182;170;2;gelb;500;5;150;;;3,3;geht so;;
2014;34;168;Frau;54;57;175;160;2;silber;140;25;70;;;3,3;geht so;;
2014;21;158;Frau;58;46;176;163;1;silber;643;27;60;;;3,3;zufrieden;;
2014;24;168;Frau;52;52;182;164;2;schwarz;380;25;30;;;3,3;geht so;;
2014;20;185;Mann;48;48;185;170;1;blau;350;8;1000;;;3,7;unzufrieden;;
2014;28;165;Frau;63;55;175;168;2;schwarz;500;40;800;;;3,7;unzufrieden;;
2014;23;162;Frau;52;51;179;168;1;schwarz;670;35;700;;;3,7;geht so;;
2014;23;169;Frau;55;54;180;167;1;schwarz;220;60;450;;;3,7;geht so;;
2014;20;170;Frau;51;49;176;171;1;weiss;950;43;450;;;3,7;zufrieden;;
2014;23;166;Frau;56;50;180;165;1;blau;550;40;400;;;3,7;zufrieden;;
2014;21;164;Frau;52;50;176;180;2;weiss;150;32;400;;;3,7;unzufrieden;;
2014;22;175;Mann;60;56;175;158;2;schwarz;530;25;250;;;3,7;geht so;;
2014;28;175;Frau;62;62;177;175;1;silber;600;30;200;;;3,7;unzufrieden;;
2014;20;174;Frau;60;56;181;166;2;silber;420;30;200;;;3,7;unzufrieden;;
2014;21;168;Frau;54;50;175;168;1;schwarz;300;30;150;;;3,7;geht so;;
2014;19;160;Frau;48;47;180;165;1;schwarz;300;20;150;;;3,7;unzufrieden;;
2014;20;162;Frau;42;44;183;158;1;weiss;260;15;140;;;3,7;geht so;;
2014;22;193;Mann;49;46;190;170;1;schwarz;545;13;35;;;3,7;unzufrieden;;
2014;23;170;Frau;50;45;180;172;1;schwarz;500;55;600;;;4,0;unzufrieden;;
2014;19;176;Frau;49;47;187;176;0;schwarz;250;28;600;;;4,0;geht so;;
2014;23;174;Frau;55;50;180;168;2;weiss;350;27;600;;;4,0;unzufrieden;;
2014;23;174;Frau;50;51;175;165;1;schwarz;700;80;500;;;4,0;unzufrieden;;
2014;18;178;Mann;52;46;176;162;1;schwarz;505;11;450;;;4,0;unzufrieden;;
2014;23;182;Mann;57;55;180;170;1;schwarz;630;4;450;;;4,0;geht so;;
2014;21;169;Frau;47;48;186;160;1;rot;300;30;400;;;4,0;unzufrieden;;
2014;19;176;Mann;60;52;180;161;1;schwarz;400;20;400;;;4,0;unzufrieden;;
2014;22;167;Frau;47;46;172;165;1;weiss;320;40;300;;;4,0;geht so;;
2014;27;170;Frau;64;60;180;150;2;silber;30;20;300;;;4,0;geht so;;
2014;21;182;Mann;51;50;172;173;0;silber;825;12;300;;;4,0;geht so;;
2014;21;178;Mann;61;54;178;165;2;schwarz;240;11;300;;;4,0;geht so;;
2014;26;172;Mann;57;56;186;156;2;gelb;350;10;260;;;4,0;geht so;;
2014;20;181;Frau;56;48;192;170;1;schwarz;200;17;220;;;4,0;geht so;;
2014;18;185;Frau;49;53;202;180;0;weiss;300;30;200;;;4,0;unzufrieden;;
2014;20;180;Frau;54;46;185;170;1;rot;200;25;200;;;4,0;zufrieden;;
2014;19;165;Frau;48;47;183;165;4;rot;270;22;200;;;4,0;geht so;;
2014;27;165;Frau;53;53;175;165;1;weiss;300;10;200;;;4,0;unzufrieden;;
2014;22;178;Frau;68;60;176;170;2;schwarz;120;20;150;;;4,0;geht so;;
2014;29;180;Mann;74;67;180;170;3;weiss;720;6;120;;;4,0;zufrieden;;
2014;21;175;Frau;43;39;169;163;2;schwarz;350;27;100;;;4,0;unzufrieden;;
2014;24;185;Mann;54;52;179;163;2;schwarz;250;8;90;;;4,0;geht so;;
2014;23;164;Frau;50;50;167;167;2;schwarz;200;6;80;;;4,0;geht so;;
2014;22;173;Frau;53;49;185;165;1;weiss;245;80;400;;;4,7;unzufrieden;;
2014;27;176;Frau;57;56;178;165;0;weiss;1868;20;717;;;5,0;zufrieden;;
2014;23;163;Frau;54;46;183;166;1;weiss;880;40;600;;;5,0;unzufrieden;;
2014;19;170;Frau;53;52;180;167;1;weiss;340;10;540;;;5,0;unzufrieden;;
2014;20;167;Frau;50;50;189;172;1;weiss;800;65;500;;;5,0;unzufrieden;;
2014;20;169;Frau;58;59;192;160;3;weiss;800;30;500;;;5,0;unzufrieden;;
2014;21;178;Frau;52;61;192;165;0;schwarz;800;30;500;;;5,0;unzufrieden;;
2014;24;166;Frau;51;51;180;166;1;gelb;600;12;500;;;5,0;unzufrieden;;
2014;20;183;Mann;64;53;180;170;2;schwarz;192;7;500;;;5,0;unzufrieden;;
2014;20;194;Mann;44;43;187;179;1;rot;815;15;400;;;5,0;unzufrieden;;
2014;23;159;Frau;59;56;178;174;1;schwarz;500;55;350;;;5,0;unzufrieden;;
2014;21;157;Frau;46;53;174;168;1;silber;500;35;350;;;5,0;unzufrieden;;
2014;22;163;Frau;47;48;180;173;1;schwarz;540;35;300;;;5,0;unzufrieden;;
